Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
PGPIN01010,Abies amabilis,amabilis fir,,S5 (2019),Yellow,G5 (2015),,,,,,
PGPIN01060,Abies grandis,grand fir,,S5 (2019),Yellow,G5 (2016),,,,,,
PGPIN010E0,Abies lasiocarpa,subalpine fir,,S5 (2019),Yellow,G5 (2016),,,,,,
NBMUS8A010,Abietinella abietina,,,S5 (2015),Yellow,G5 (2015),,,,,,
PDNYC010C0,Abronia latifolia,yellow sand-verbena,CDFmm; CWHvm; CWHxm,S3 (2019),Blue,G5 (1988),,,,,Y,
PDNYC010N2,Abronia umbellata var. breviflora,pink sand-verbena,CWHvh,S1 (2019),Red,G4G5T2 (2014),E,1-E (2005),,,Y,
PDMAL020N0,Abutilon theophrasti,velvet-leaf,,SNA (2019),Exotic,GNR,,,,,,
NBMUS01010,Acaulon muticum,,,S1 (2015),Red,G4G5 (1991),,,,,,
NBMUS01030,Acaulon triquetrum,,,SU,Unknown,G2G4 (1999),,,,,,
PDACE01020,Acer circinatum,vine maple,,S5 (2019),Yellow,G5 (2016),,,,,,
PDACE01052,Acer glabrum var. douglasii,Douglas maple,,S5 (2019),Yellow,G5T5 (2016),,,,,,
PDACE01080,Acer macrophyllum,bigleaf maple,,S5 (2019),Yellow,G5 (2016),,,,,,
PDACE01090,Acer negundo,box-elder,,SNA (2019),Exotic,G5 (2016),,,,,,
PDACE010D0,Acer platanoides,Norway maple,,SNA (2019),Exotic,GNR,,,,,,
PDACE010E0,Acer pseudoplatanus,sycamore maple,,SNA (2019),Exotic,GNR,,,,,,
PDACE010F2,Acer rubrum var. rubrum,red maple,,SNA (2019),Exotic,G5T5 (1994),,,,,,
PDAST03060,Achillea alpina ssp. multiflora,Siberian yarrow,,S5 (2019),Yellow,G5 (2015),,,,,,
PDAST03090,Achillea borealis,woolly yarrow,,S5 (2019),Yellow,G5 (2017),,,,,,
PDAST03010,Achillea filipendulina,fernleaf yarrow,,SNA (2019),Exotic,GNR,,,,,,
PDAST0303G,Achillea millefolium,yarrow,,SNA (2019),Exotic,G5T5? (2003),,,,,,
PDAST03050,Achillea ptarmica,sneezeweed,,SNA (2019),Exotic,GNR,,,,,,
PDBER01010,Achlys triphylla,vanilla-leaf,,S5 (2019),Yellow,G5 (2016),,,,,,
PDLAM02010,Acinos arvensis,basil-thyme,,SNA (2019),Exotic,G5 (1988),,,,,,
PDFAB2A1H1,Acmispon americanus var. americanus,Spanish-clover,,S4 (2019),Yellow,G5T5 (2015),,,,,,
PDFAB2A0C0,Acmispon denticulatus,meadow birds-foot trefoil,,S4S5 (2019),Yellow,G5 (2015),,,,,,
PDFAB2A0R0,Acmispon parviflorus,small-flowered birds-foot trefoil,,S4S5 (2019),Yellow,G5 (2015),,,,,,
PDRAN01011,Aconitum columbianum ssp. columbianum,Columbian monkshood,,S5 (2019),Yellow,G5T5 (2016),,,,,,
PDRAN01020,Aconitum delphiniifolium,mountain monkshood,,S5 (2019),Yellow,G5 (2016),,,,,,
PMACO01010,Acorus americanus,American sweet-flag,CWHdm; ICHdw; ICHxw; IDFmw; SBSdk; SBSdw; SBSmh; SBSwk,S3 (2019),Blue,G5 (2015),,,,,Y,
PDRAN0T012,Actaea elata var. elata,tall bugbane,CWHdm; CWHms; CWHvm; MHmm,S1S2 (2019),Red,G4T4 (2015),E,1-E (2003),Y,,Y,
PDRAN02020,Actaea rubra,baneberry,,S5 (2019),Yellow,G5 (2016),,,,,,
PDAST06010,Adenocaulon bicolor,pathfinder,,S5 (2019),Yellow,G5 (2015),,,,,,
PPADI030Q2,Adiantum aleuticum var. aleuticum,western maiden-hair fern,,S5 (2020),Yellow,G5?T4 (2015),,,,,,
PPADI030Q1,Adiantum aleuticum var. subpumilum,dwarf maiden-hair fern,CWHvm,S2S3 (2017),Blue,G5?T2T3 (2017),,,,,Y,
PPADI03010,Adiantum capillus-veneris,southern maiden-hair,IDFxk,S1 (2019),Red,G5 (2016),E,1-E (2003),,,Y,
PDADO01010,Adoxa moschatellina,moschatel,,S5? (2019),Yellow,G5 (2016),,,,,,
PMPOA01020,Aegilops cylindrica,jointed goatgrass,,SNA (2019),Exotic,GNR,,,,,,
PDAPI01010,Aegopodium podagraria,goutweed,,SNA (2019),Exotic,GNR,,,,,,
PDHPC01040,Aesculus hippocastanum,horse chestnut,,SNA (2019),Exotic,GNR,,,,,,
PDLAM03040,Agastache foeniculum,giant-hyssop,,SNA (2019),Exotic,G5 (2016),,,,,,
PDLAM030F0,Agastache urticifolia,nettle-leaved giant-hyssop,,S4 (2019),Yellow,G5 (2016),,,,,,
PDAST090L1,Agoseris aurantiaca var. aurantiaca,orange agoseris,,S5 (2019),Yellow,G5T5 (2016),,,,,,
PDAST09072,Agoseris glauca var. dasycephala,short-beaked agoseris,,S5 (2020),Yellow,G5T5 (2016),,,,,,
PDAST09073,Agoseris glauca var. glauca,prairie agoseris,,S5 (2020),Yellow,G5T5 (2015),,,,,,
PDAST09082,Agoseris grandiflora var. leptophylla,large-flowered agoseris,,S5,Yellow,G5T5 (2016),,,,,,
PDAST09092,Agoseris heterophylla var. heterophylla,annual agoseris,,S5 (2019),Yellow,G5T5 (2016),,,,,,
PDAST090C0,Agoseris lackschewitzii,pink agoseris,,S4 (2015),Yellow,G4Q (1997),,,,,,
PDROS03030,Agrimonia gryposepala,common agrimony,,SU (2019),Unknown,G5 (2015),,,,,,
PDROS030A0,Agrimonia striata,grooved agrimony,,SU (2019),Unknown,G5 (2015),,,,,,
PMPOA030M0,Agropyron cristatum,crested wheatgrass,,SNA (2019),Exotic,G5 (2015),,,,,,
PMPOA030P0,Agropyron fragile,Siberian wheatgrass,,SNA (2019),Exotic,GNR,,,,,,
PMPOA04080,Agrostis canina,velvet bentgrass,,SNA (2019),Exotic,G5 (1994),,,,,,
PMPOA04090,Agrostis capillaris,colonial bentgrass,,SNA (2019),Exotic,GNR,,,,,,
PMPOA041P0,Agrostis castellana,highland bentgrass,,SNA (2019),Exotic,GNR,,,,,,
PMPOA040D0,Agrostis exarata,spike bentgrass,,S5 (2019),Yellow,G5 (2016),,,,,,
PMPOA040H0,Agrostis gigantea,redtop,,SNA (2019),Exotic,G4G5 (1988),,,,,,
PMPOA041K0,Agrostis idahoensis,Idaho bentgrass,,S4 (2019),Yellow,G5 (1993),,,,,,
PMPOA040T0,Agrostis mertensii,northern bentgrass,,S5 (2019),Yellow,G5 (2016),,,,,,
PMPOA040U0,Agrostis microphylla,small-leaved bentgrass,,S4S5 (2019),Yellow,G4G5 (2019),,,,,,
PMPOA040X0,Agrostis oregonensis,Oregon bentgrass,,S5 (2019),Yellow,G5 (2016),,,,,,
PMPOA041M0,Agrostis pallens,dune bentgrass,,S4 (2019),Yellow,G4G5 (1990),,,,,,
PMPOA041Q0,Agrostis scabra,hair bentgrass,,S5 (2019),Yellow,G5 (2015),,,,,,
PMPOA04140,Agrostis stolonifera,creeping bentgrass,,SNA (2019),Exotic,G5 (2016),,,,,,
PMPOA04180,Agrostis variabilis,mountain bentgrass,,S5 (2019),Yellow,G5 (2016),,,,,,
PDSIM01010,Ailanthus altissima,tree of heaven,,SNA (2019),Exotic,GNR (1994),,,,,,
PMPOA05010,Aira caryophyllea,silver hairgrass,,SNA (2019),Exotic,GNR,,,,,,
PMPOA05030,Aira praecox,early hairgrass,,SNA (2019),Exotic,GNR,,,,,,
PDLAM04030,Ajuga reptans,bugle-weed,,SNA (2019),Exotic,GNR,,,,,,
PDMAL03010,Alcea rosea,hollyhock,,SNA (2019),Exotic,GU (1994),,,,,,
PDROS040F0,Alchemilla mollis,lady's mantle,,SNA (2019),Exotic,GNR,,,,,,
PDROS040E0,Alchemilla monticola,hairy lady's mantle,,SNA (2019),Exotic,GNR,,,,,,
PDROS040A0,Alchemilla subcrenata,lady's-mantle,,SNA (2019),Exotic,GNR,,,,,,
PMALI01010,Alisma gramineum,narrow-leaved water-plantain,,S4 (2019),Yellow,G5 (2015),,,,,,
PMALI01020,Alisma lanceolatum,lance-leaved water-plantain,,SNA (2019),Exotic,G4? (1998),,,,,,
PMALI01060,Alisma plantago-aquatica,European water-plantain,,SNA (2019),Exotic,GNR,,,,,,
PMALI01050,Alisma triviale,American water-plantain,,S5 (2019),Yellow,G5 (2015),,,,,,
PDBRA01010,Alliaria petiolata,garlic mustard,,SNA (2019),Exotic,GNR (1994),,,,,,
PMLIL02020,Allium acuminatum,Hooker's onion,,S5 (2019),Yellow,G5 (2016),,,,,,
PMLIL02040,Allium amplectens,slimleaf onion,CDFmm; CWHxm,S3 (2019),Blue,G4 (1988),,,,,Y,
PMLIL02370,Allium cernuum,nodding onion,,S5 (2019),Yellow,G5 (2015),,,,,,
PMLIL020M0,Allium crenulatum,Olympic onion,,S3S4 (2022),Yellow,G4 (1988),,,,,,
PMLIL02102,Allium geyeri var. tenerum,Geyer's onion,,S4 (2019),Yellow,G4G5T4T5 (2021),,,,,,
PMLIL02221,Allium sativum var. sativum,cultivated garlic,,SNA (2021),Exotic,GNRTNR,,,,,,
PMLIL02230,Allium schoenoprasum,wild chives,,S5 (2019),Yellow,G5 (2015),,,,,,
PMLIL022K0,Allium vineale,field garlic,,SNA (2019),Exotic,GNR,,,,,,
PDMON01010,Allotropa virgata,candystick,,S4 (2019),Yellow,G4 (2016),,,,,,
PDBET01083,Alnus alnobetula ssp. crispa,green alder,,S4 (2000),Yellow,G5T5 (2015),,,,,,
PDBET01084,Alnus alnobetula ssp. fruticosa,Siberian alder,,S5?,Yellow,G5T5 (2015),,,,,,
PDBET01082,Alnus alnobetula ssp. sinuata,Sitka alder,,S5 (2000),Yellow,G5T5 (2015),,,,,,
PDBET01022,Alnus incana ssp. tenuifolia,mountain alder,,S5 (2019),Yellow,G5T5 (2015),,,,,,
PDBET01060,Alnus rubra,red alder,,S5 (2019),Yellow,G5 (2015),,,,,,
NBMUS03050,Aloina bifrons,,,S3S4 (2015),Yellow,G3G4 (2014),,,,,,
NBMUS03020,Aloina brevirostris,,,S3 (2015),Blue,G4G5 (2015),,,,,,
NBMUS03041,Aloina rigida var. rigida,rigid screw moss,,S3S4 (2022),Yellow,G4G5TNR,,,,,,
PMPOA07013,Alopecurus aequalis var. aequalis,little meadow-foxtail,,S5 (2019),Yellow,G5T5 (2016),,,,,,
PMPOA07030,Alopecurus arundinaceus,creeping meadow foxtail,,SNA (2019),Exotic,GNR,,,,,,
PMPOA07040,Alopecurus carolinianus,Carolina meadow-foxtail,,S3S4 (2019),Yellow,G5 (2016),,,,,,
PMPOA07060,Alopecurus geniculatus,water meadow-foxtail,,SNA (2019),Exotic,GU (2006),,,,,,
PMPOA07020,Alopecurus magellanicus,alpine meadow-foxtail,,SU (2022),Unknown,G5 (2015),,,,,Y,
PMPOA07090,Alopecurus pratensis,meadow-foxtail,,SNA (2019),Exotic,GNR,,,,,,
NBMUS04010,Alsia californica,,CDF; CWH,S3 (2015),Blue,G4 (1992),,,,,,
PDBRA02010,Alyssum alyssoides,pale alyssum,,SNA (2019),Exotic,GNR,,,,,,
PDBRA02030,Alyssum desertorum,desert alyssum,,SNA (2019),Exotic,GNR,,,,,,
PDBRA02060,Alyssum murale,wall alyssum,,SNA (2019),Exotic,GNR,,,,,,
PDAMA04030,Amaranthus albus,tumbleweed,,SNA (2019),Exotic,GNR,,,,,,
PDAMA04080,Amaranthus blitoides,prostrate pigweed,,SNA (2019),Exotic,GNR,,,,,,
PDAMA04192,Amaranthus blitum ssp. emarginatus,purple amaranth,,SNA (2019),Exotic,GNRTNR,,,,,,
PDAMA040G0,Amaranthus cruentus,blood amaranth,,SNA (2019),Exotic,GNR,,,,,,
PDAMA040Q0,Amaranthus hypochondriacus,prince's-feather amaranth,,SNA (2019),Exotic,G4? (1987),,,,,,
PDAMA040X2,Amaranthus powellii ssp. bouchonii,Bouchon's amaranth,,SNA (2008),Exotic,G5TNR,,,,,,
PDAMA040X1,Amaranthus powellii ssp. powellii,Powell's amaranth,,SNA (2008),Exotic,G5T5 (2008),,,,,,
PDAMA04100,Amaranthus retroflexus,rough pigweed,,SNA (2019),Exotic,G5 (2015),,,,,,
NBMUS05010,Amblyodon dealbatus,,BWBS; SWB,S3 (2015),Blue,G3G5 (1991),,,,,,
NBMUS06020,Amblystegium serpens,,,S4S5 (2015),Yellow,G5 (2015),,,,,,
PDAST0C030,Ambrosia artemisiifolia,annual ragweed,,SNA (2019),Exotic,G5 (2016),,,,,,
PDAST0C060,Ambrosia chamissonis,silver burweed,,S5 (2019),Yellow,G5 (2016),,,,,,
PDROS05011,Amelanchier alnifolia var. alnifolia,prairie saskatoon,,S5 (2020),Yellow,G5T5 (2016),,,,,,
PDROS050Q2,Amelanchier alnifolia var. semiintegrifolia,showy saskatoon,,S5 (2020),Yellow,G5T4T5 (2015),,,,,,
PDROS05012,Amelanchier cusickii,Cusick's saskatoon,,S5 (2019),Yellow,G5T5 (2017),,,,,,
PDROS050R0,Amelanchier lamarckii,Lamarck's serviceberry,,SNA (2019),Exotic,GNR,,,,,,
PDLYT01050,Ammannia robusta,scarlet ammannia,BGxh,S1 (2022),Red,G5 (2016),E,1-E (2003),,,Y,Y
PMPOA08010,Ammophila arenaria ssp. arenaria,European beachgrass,,SNA (2019),Exotic,GNR (1994),,,,,,
PMPOA08020,Ammophila breviligulata ssp. breviligulata,sand reed,,SNA (2019),Exotic,G5 (2016),,,,,,
NBMUS07010,Amphidium californicum,,,S4 (2015),Yellow,G4 (1992),,,,,,
NBMUS07020,Amphidium lapponicum,,,S5 (2015),Yellow,G5 (2015),,,,,,
NBMUS07030,Amphidium mougeotii,,,S4 (2015),Yellow,G5 (1992),,,,,,
PMCYP0Q130,Amphiscirpus nevadensis,Nevada bulrush,,S4 (2019),Yellow,G4 (2016),,,,,,
PDBOR01060,Amsinckia intermedia,common fiddleneck,,SU (2019),Unknown,G5? (2016),,,,,,
PDBOR01080,Amsinckia lycopsoides,bugloss fiddleneck,,SU (2019),Unknown,G4? (2001),,,,,,
PDBOR01090,Amsinckia menziesii,small-flowered fiddleneck,,S5 (2019),Yellow,G5 (2016),,,,,,
PDBOR010B1,Amsinckia spectabilis var. spectabilis,seaside fiddleneck,,S4 (2019),Yellow,G4G5TNR,,,,,,
NBMUS09020,Anacolia menziesii,,,S4S5 (2015),Yellow,G4 (1992),,,,,,
PDAST0F010,Anaphalis margaritacea,pearly everlasting,,S5 (2019),Yellow,G5 (2016),,,,,,
NBHEP03010,Anastrepta orcadensis,,,S2S3 (2021),Blue,G3G5 (1999),,,,,,
NBHEP04010,Anastrophyllum assimile,,,S4 (2021),Yellow,G3? (1999),,,,,,
NBHEP04020,Anastrophyllum donnianum,,,S3 (2021),Blue,G3? (1999),,,,,,
NBHEP04040,Anastrophyllum michauxii,,,S2S3 (2021),Blue,G5 (2016),,,,,,
PDBOR02010,Anchusa arvensis,European bugloss,,SNA (2019),Exotic,GNR,,,,,,
PDBOR02020,Anchusa azurea,Italian bugloss,,SNA (2019),Exotic,GNR,,,,,,
PDBOR02021,Anchusa azurea var. azurea,Italian bugloss,,SNA,Exotic,GNRTNR,,,,,,
PDBOR02050,Anchusa officinalis,alkanet,,SNA (2019),Exotic,GNR,,,,,,
PDBOR0B081,Andersonglossum boreale,northern hound's-tongue,,S4 (2019),Yellow,G5T4T5 (2002),,,,,,
NBMUS0A010,Andreaea blyttii,,,S4 (2015),Yellow,G5 (2015),,,,,,
NBMUS0A100,Andreaea heinemannii,,MH,S1 (2015),Red,G3G5 (2000),,,,,,
NBMUS0A110,Andreaea megistospora,,,S4 (2015),Yellow,G4G5 (2001),,,,,,
NBMUS0A120,Andreaea mutabilis,,CWH,S1S2 (2015),Red,G5 (1996),,,,,,
NBMUS0A040,Andreaea nivalis,,,S4 (2015),Yellow,G5 (1992),,,,,,
NBMUS0A070,Andreaea obovata,,,S3S4 (2015),Yellow,G3G5 (2000),,,,,,
NBMUS0A140,Andreaea rothii,,,S3S4 (2011),Yellow,G5 (2015),,,,,,
NBMUS0A060,Andreaea rupestris,,,S5 (2015),Yellow,G5 (2015),,,,,,
NBMUS0A080,Andreaea schofieldiana,,MH,S2 (2015),Red,G2G3 (2001),,,,,,
NBMUS0A130,Andreaea sinuosa,,CMA; CWHvm; MHmm; MHwh,S1S2 (2011),Red,G2 (2009),,,,,,
NBMUS8E010,Andreaeobryum macrosporum,,SWB,S2 (2015),Red,G2G3 (2009),,,,,,
PDERI02013,Andromeda polifolia var. polifolia,bog-rosemary,,S4 (2019),Yellow,G5T5 (2016),,,,,,
PDPRI02026,Androsace chamaejasme ssp. lehmanniana,sweet-flowered fairy-candelabra,BAFA; ESSFdk; IMA; MSdk; SWBmk,S2S3 (2019),Blue,G5T5 (2015),,,,,Y,
PDPRI02050,Androsace occidentalis,western fairy-candelabra,,SU (2019),Unknown,G5 (2015),,,,,,
PDPRI02060,Androsace septentrionalis,northern fairy-candelabra,,S5 (2019),Yellow,G5 (2015),,,,,,
PDRAN04020,Anemonastrum canadense,Canada anemone,,S3S4 (2019),Yellow,G5 (2016),,,,,,
PDRAN040N0,Anemonastrum richardsonii,yellow anemone,,S5 (2019),Yellow,G5 (2016),,,,,,
PDRAN040FA,Anemonastrum sibiricum,narcissus anemone,,S5 (2019),Yellow,G5T5 (2016),,,,,,
PDRAN040F9,Anemonastrum villosissimum,narcissus-flowered anemone,,SU (2019),Unknown,G5T4 (2001),,,,,,
PDRAN04040,Anemone cylindrica,long-headed anemone,,S4S5 (2019),Yellow,G5 (2016),,,,,,
PDRAN04061,Anemone drummondii var. drummondii,alpine anemone,CMA; CWHvh; ESSFxc; IMA; MHmm,S3 (2017),Blue,G4T4 (2016),,,,,Y,
PDRAN040A0,Anemone drummondii var. lithophila,alpine anemone,,S5 (2020),Yellow,G5 (2016),,,,,,
PDRAN040B0,Anemone lyallii,Lyall's anemone,,S4S5 (2019),Yellow,G4G5 (2016),,,,,,
PDRAN040E6,Anemone multifida var. multifida,cut-leaved anemone,,S5 (2020),Yellow,G5T5 (2016),,,,,,
PDRAN040E8,Anemone multifida var. saxicola,cut-leaved anemone,,S5 (2020),Yellow,G5T5 (2016),,,,,,
PDRAN040G0,Anemone nemorosa,European thimbleweed,,SNA (2019),Exotic,GNR (1994),,,,,,
PDRAN040J0,Anemone parviflora,northern anemone,,S5 (2019),Yellow,G5 (2016),,,,,,
PDRAN040K0,Anemone piperi,Piper's anemone,ESSFwc,SH (2019),Red,G4 (2016),,,,,Y,
PDRAN040T1,Anemone virginiana var. cylindroidea,riverbank anemone,,S4 (2019),Yellow,G5T4T5 (2016),,,,,,
PDAPI06010,Anethum graveolens,common dill,,SNA (2019),Exotic,GNR,,,,,,
NBHEP05010,Aneura pinguis var. pinguis,,,S4 (2021),Yellow,G5T5 (2018),,,,,,
PDAPI07030,Angelica arguta,sharptooth angelica,,S4? (2019),Yellow,G5 (2016),,,,,,
PDAPI07080,Angelica dawsonii,Dawson's angelica,,S3S4 (2019),Yellow,G4 (2016),,,,,,
PDAPI070A0,Angelica genuflexa,kneeling angelica,,S5 (2019),Yellow,G5 (2016),,,,,,
PDAPI070G0,Angelica lucida,seacoast angelica,,S5 (2019),Yellow,G5 (2016),,,,,,
PDAST650B0,Anisocarpus madioides,woodland tarweed,,S5 (2019),Yellow,G5 (2019),,,,,,
NBMUS0B010,Anoectangium aestivum,,,S4 (2015),Yellow,G4G5 (2015),,,,,,
NBMUS0B020,Anoectangium sikkimense,,,SU (2021),Unknown,GNR,,,,,,
NBMUS0B080,Anoectangium stracheyanum,,,SU (2021),Unknown,GNR,,,,,,
NBMUS80020,Anomobryum concinnatum,,,SU,Unknown,GU (2000),,,,,,
NBMUS80010,Anomobryum julaceum,,,SU (2022),Unknown,G5 (2017),,,,,,
PDAST0H040,Antennaria anaphaloides,showy pussytoes,,S4 (2019),Yellow,G5 (2016),,,,,,
PDAST0H080,Antennaria dimorpha,low pussytoes,,S5 (2019),Yellow,G5 (2016),,,,,,
PDAST0H0W0,Antennaria flagellaris,stoloniferous pussytoes,IDFxh,S2 (2019),Red,G5 (2014),E,1-E (2005),,,Y,
PDAST0H1D4,Antennaria howellii ssp. howellii,Howell's pussytoes,,S5 (2020),Yellow,G5T5 (2012),,,,,,
PDAST0H1D1,Antennaria howellii ssp. neodioica,northern pussytoes,,S5 (2020),Yellow,G5T5 (2015),,,,,,
PDAST0H0B0,Antennaria lanata,woolly pussytoes,,S5 (2019),Yellow,G5 (2016),,,,,,
PDAST0H0C2,Antennaria luzuloides ssp. luzuloides,woodrush pussytoes,,S4 (2019),Yellow,G5T3T5 (2002),,,,,,
PDAST0H150,Antennaria media,dark pussytoes,,S5 (2019),Yellow,G5 (2016),,,,,,
PDAST0H0E0,Antennaria microphylla,white pussytoes,,S5 (2019),Yellow,G5 (2016),,,,,,
PDAST0H0F1,Antennaria monocephala ssp. angustata,narrow-leaved pygmy pussytoes,,S5 (2020),Yellow,G5T5 (2015),,,,,,
PDAST0H0F2,Antennaria monocephala ssp. monocephala,pygmy pussytoes,,S5 (2020),Yellow,G5T5 (2015),,,,,,
PDAST0H0G0,Antennaria neglecta,field pussytoes,,S4 (2019),Yellow,G5 (2016),,,,,,
PDAST0H1M0,Antennaria pallida,pale pussytoes,,S5 (2019),Yellow,GNR,,,,,,
PDAST0H0H0,Antennaria parvifolia,Nuttall's pussytoes,,S5 (2019),Yellow,G5 (2016),,,,,,
PDAST0H0L0,Antennaria pulcherrima ssp. pulcherrima,showy pussytoes,,S5 (2019),Yellow,G5 (2016),,,,,,
PDAST0H0X4,Antennaria pulvinata,pulvinate pussytoes,,S5 (2019),Yellow,G5T5 (2019),,,,,,
PDAST0H0M0,Antennaria racemosa,racemose pussytoes,,S5 (2019),Yellow,G5 (2016),,,,,,
PDAST0H0T0,Antennaria umbrinella,umber pussytoes,,S5 (2019),Yellow,G5 (2012),,,,,,
NBHEP07010,Anthelia julacea,,,S4 (2021),Yellow,G3G4 (1999),,,,,,
NBHEP07020,Anthelia juratzkana,,,S4 (2021),Yellow,G5 (2018),,,,,,
PDAST0J020,Anthemis arvensis,common chamomile,,SNA (2019),Exotic,GNR,,,,,,
PDAST0J030,Anthemis cotula,stinking chamomile,,SNA (2019),Exotic,G5 (1994),,,,,,
NBANT01030,Anthoceros fusiformis,,,S3S4 (2020),Yellow,G3G4 (2021),,,,,,
PMPOA0F010,Anthoxanthum aristatum ssp. aristatum,annual vernalgrass,,SNA (2019),Exotic,G4G5 (1994),,,,,,
PMPOA35020,Anthoxanthum hirtum,hairy sweetgrass,,S5 (2019),Yellow,G5 (2015),,,,,,
PMPOA35013,Anthoxanthum monticola ssp. alpinum,alpine sweetgrass,,S5 (2019),Yellow,G5T5 (2016),,,,,,
PMPOA0F020,Anthoxanthum odoratum,sweet vernalgrass,,SNA (2019),Exotic,GNR (1994),,,,,,
PDAPI08010,Anthriscus caucalis,bur chervil,,SNA (2019),Exotic,GNR,,,,,,
PDAPI08020,Anthriscus cerefolium,chervil,,SNA (2019),Exotic,GNR,,,,,,
PDAPI08040,Anthriscus sylvestris,wild chervil,,SNA (2019),Exotic,GNR,,,,,,
PMLIL28030,Anticlea elegans,mountain death-camas,,S5 (2019),Yellow,G5 (2015),,,,,,
PMLIL1W020,Anticlea occidentalis,western mountainbells,,S4S5 (2019),Yellow,G5 (2017),,,,,,
NBMUS0D010,Antitrichia californica,,,S4 (2015),Yellow,G5 (1992),,,,,,
NBMUS0D020,Antitrichia curtipendula,,,S5 (2015),Yellow,G5 (2015),,,,,,
NBMUS0E010,Aongstroemia longipes,,,S4S5 (2015),Yellow,G4G5 (2012),,,,,,
PMPOA0G010,Apera interrupta,interrupted apera,,SNA (2019),Exotic,GNR,,,,,,
PDROS21050,Aphanes arvensis,field parsley-piert,,SNA (2019),Exotic,GNR,,,,,,
PDROS21040,Aphanes australis,small-fruited parsley-piert,,SNA (2019),Exotic,GNR,,,,,,
PDROS21030,Aphanes occidentalis,western parsley-piert,,S5 (2019),Yellow,G5 (2016),,,,,,
PDBRA04010,Aphragmus eschscholtzianus,Eschscholtz's little nightmare,,S3S4 (2019),Yellow,G4? (2012),,,,,,
PDORO04021,Aphyllon californicum ssp. californicum,California broomrape,,S4 (2019),Yellow,G4T4 (1989),,,,,,
PDORO04042,Aphyllon corymbosum ssp. mutabile,flat-topped broomrape,,S4 (2019),Yellow,G4T3? (2000),,,,,,
PDORO04060,Aphyllon fasciculatum,clustered broomrape,,S5 (2019),Yellow,G4G5 (2016),,,,,,
PDORO04070,Aphyllon ludovicianum,Louisiana broomrape,BGxh; BGxw; IDFdm; IDFxh; IDFxk; PPdh,S2? (2019),Red,G5 (1990),,,,,Y,
PDORO040B0,Aphyllon pinorum,pine broomrape,CDFmm; CWHmm; CWHxm,S1S2 (2019),Red,G4 (2016),,,,,Y,
PDORO040F3,Aphyllon purpureum,western one-flowered broomrape,,S5 (2020),Yellow,G5TNR,,,,,,
PDORO040F0,Aphyllon uniflorum,naked broomrape,,SNR (2020),Not Reviewed,G5 (2016),,,,,,
PDAPO06010,Apocynum androsaemifolium,spreading dogbane,,S5 (2019),Yellow,G5 (2016),,,,,,
PDAPO06020,Apocynum cannabinum,hemp,,S5 (2019),Yellow,G5 (2016),,,,,,
PDAPO06060,Apocynum x floribundum,western dogbane,,SNA (2021),No Status,GNA (2016),,,,,,
NBHEP3D010,Apopellia alpicola,,,S4 (2021),Yellow,GNR,,,,,,
NBHEP09020,Apotreubia hortoniae,,,S3 (2021),Blue,GNR,,,,,,
PDRAN05020,Aquilegia brevistyla,blue columbine,,S5 (2019),Yellow,G5 (2016),,,,,,
PDRAN050A0,Aquilegia flavescens,yellow columbine,,S5 (2019),Yellow,G5 (2016),,,,,,
PDRAN050B1,Aquilegia formosa var. formosa,Sitka columbine,,S5 (2019),Yellow,G5T5 (2016),,,,,,
PDRAN050N0,Aquilegia vulgaris,European columbine,,SNA (2019),Exotic,GNR,,,,,,
NBMUS3E040,Aquilonium adscendens,,,S3S4 (2015),Yellow,G3G4 (2015),,,,,,
NBMUS3V0E0,Aquilonium plicatulum,,,S3S4 (2015),Yellow,G5 (2015),,,,,,
PDBRA06142,Arabidopsis lyrata ssp. kamchatica,Kamchatka rockcress,,S5 (2019),Yellow,G5T5 (2015),,,,,,
PDBRA05010,Arabidopsis thaliana,mouse-ear,,SNA (2019),Exotic,GNR,,,,,,
PDBRA064J0,Arabis eschscholtziana,Eschscholtz's rockcress,,S5 (2019),Yellow,G5 (2015),,,,,,
PDBRA06190,Arabis nuttallii,Nuttall's rockcress,,S4S5 (2019),Yellow,G5 (2016),,,,,,
PDBRA064G0,Arabis pycnocarpa,cream-flowered rockcress,,S5 (2019),Yellow,G5 (2015),,,,,,
PDARA02040,Aralia nudicaulis,wild sarsaparilla,,S5 (2019),Yellow,G5 (2016),,,,,,
PDERI03020,Arbutus menziesii,arbutus,,S5 (2019),Yellow,G5 (2019),,,,,,
PDVIS03020,Arceuthobium americanum,American dwarf mistletoe,,S5 (2019),Yellow,G5 (2016),,,,,,
PDVIS03060,Arceuthobium campylopodum,western dwarf mistletoe,,SU (2021),Unknown,G5 (2016),,,,,,
PDVIS03090,Arceuthobium douglasii,Douglas' dwarf mistletoe,,S4S5 (2019),Yellow,G5 (1988),,,,,,
PDVIS030B0,Arceuthobium laricis,larch dwarf mistletoe,,S3S4 (2015),Yellow,G4? (1994),,,,,,
PDVIS030F3,Arceuthobium tsugense ssp. contortae,shore pine dwarf mistletoe,,S4 (2017),Yellow,G5TNR,,,,,,
