mounting number,specimen?,match description?,specific epihpet? ,entry_notes,collection number,LabelQty ,Genus,Qualifier,Species,Species Author,Subspecies,Subspecies Author,Variety,Variety Author,Forma,Forma Author,Cultivar,Country,ProvinceState,Location,VLatDegree,VLatMinute,VLatSecond,VLongDegree,VLongMinute,VLongSecond,UTM,Grid Reference,VDatum,VCoordinateUncertainty,Habitat,Altitude,Date Collected,Primary Collector,Other Collectors,Collector Number,Determined By,Determination Date,Field Notes,Original Herbarium,Research Annotation,Citations,Genbank,BOLD Number,Georeference Notes,Extra Notes
,,,,,,,First letter capitalized,"Enter uncertainty about the identification (aff., cf., ?, etc.). This applies to the lowest taxonomic level.","In lower case. Can enter ""sp."" if Indeterminate.",Will be automatically populated by herbarium staff based on currently accepted names. Can leave blank unless you have special notes.,"In lower case. Name only, do not enter ""ssp."" or ""subsp."" before name.",Will be automatically populated by herbarium staff based on currently accepted names. Can leave blank unless you have special notes.,"In lower case. Name only, do not enter ""var."" before name.",Will be automatically populated by herbarium staff based on currently accepted names. Can leave blank unless you have special notes.,"In lower case. Name only, do not enter ""f."" before name.",Will be automatically populated by herbarium staff based on currently accepted names. Can leave blank unless you have special notes.,In single quotations. First letter is uppercase.,Do not abbreviate names,Do not abbreviate names,"Try to go from larger to smaller, such as: 
County, Regional District, City, Town, Street, Corner, etc. 
Expand abbreviations (e.g. Rd. to Road, Mtn. to Mountain, N to north, etc.). Unless the first word is a proper noun, begin field with a lower case letter. Please separate with commas. Do not end with a period.","For all latitude and longitude coordinates, please enter the numbers only with no symbols or hemispheres, & standardize # of digits",,,,,,"Please follow the format 
""zone easting northing"" 
(i.e. 11U 500988 5683607)","Please be as specific 
as possible (TRSec, etc.)","Enter the datum here 
(i.e. NAD27, NAD83, WGS84)","Enter the coordinate uncertainty here (in m or ft), with a space between the number and the unit.","Be as specific as possible, and please include 
associated species in this section (use full names for genera, not abbreviations). First letter is always uppercase. Can use semi-colons to separate sentences if needed. Do not end with a period.","Please follow the value 
by a space and 'm' or 'ft' 
(as applicable & with no punctuation). The following may be included: ca. and approx.. Change ~ to approx. and approximately to approx. ",Please format exactly as shown with no commas (YYYY MMM DD). Always enter DD as two digits.,"Only one collector should be listed (Primary collector); Include both first and last name,  middle initial optional.","This is where the other collectors go. Separate names by a comma only. Include both first and last names, middle initial optional.",Collection #: A unique number given by the collector to identify the specimen.,"Determiner name(s). 
Please separate names 
by a comma only. Include both first and last names, middle initial optional.","Determination date. 
Year is sufficient.","Anything important to add about collected specimen (i.e. abundance, flower colour, height, plot number, etc.) Please put associated species in the habitat field. Unless the first word is a proper noun, begin field with a lower case letter. Sentences can be separated with a semi-colon; do not end with a period.",If the specimen was originally housed at a herbarium other than UBC Herbarium,"Research Annotation, if applicable",Include the reference for any publication in which this specimen is cited.,"Input corresponding research number.
 Separate by a comma only.","Input corresponding research number.
Separate by a comma only.","Leave any georeferencing notes in this column including end range coordinates, geolocation name changes and other extra information",
1,,,,"check date on specimen sheet, says 11th in journal but 10th on sheet? ",HJCB1,1,Polygonum ,,hydropiperoides,,,,,,,,,Canada,British Columbia,"Cowichan, Duncan, Somenos marsh",48,47,58,123,40,57,,,,,"In band between grass and lake; growing with Glyceria maxima, Typha, Bidens amplissima, Potentilla rivalis, Salix geyeriana",,1996 09 11,Harvey Janszen,,,,,5 individuals; no collection number;  page 150 of HJ7 ,,,,,,,
2,Y,Y,Y,"check date on sheet, write which one is which on sheets",HJCB2,1,Salix,,hookeriana,,,,,,,,,Canada,British Columbia,"Cumberland, Cumberland Gun Range Pond ",,,,,,,,,,,"In open area; growing with Typha latifolia, Juncus supiformis, Drosera  rotundifolia, Lycopus uniflorus, Agrostis scabra, Myriophyllum spicatum, Carex canescens, Junucus ensifolius, Carex lenticularis, Carex aquatilis dives, Sparganium emersum, Rhododenron groenlandicum, Lysichiton americanus",,1996 09 12,Harvey Janszen,,,,,Cumberland Pond Willows; through Cumberland before L Gen Cl on left turn will see pond; page 155 HJ7 ,,,,,,,both Salix hookeriana and geyeriana in same newspaper fold HJCB-2 and HJCB-3
3,Y,Y,Y,write which one is which on sheets,HJCB3,1,Salix,,geyeriana ,,,,,,,,,Canada,British Columbia,"Cumberland, Cumberland Gun Range Pond ",,,,,,,,,,,"In open area; growing with Typha latifolia, Juncus supiformis, Drosera  rotundifolia, Lycopus uniflorus, Agrostis scabra, Myriophyllum spicatum, Carex canescens, Junucus ensifolius, Carex lenticularis, Carex aquatilis dives, Sparganium emersum, Rhododenron groenlandicum, Lysichiton americanus",,1996 09 12,Harvey Janszen,,,,,Cumberland Pond Willows; through Cumberland before L Gen Cl on left turn will see pond; page 155 HJ7 ,,,,,,,both Salix hookeriana and geyeriana in same newspaper fold HJCB-2 and HJCB-3
4,Y,Y,Y,,HJCB4,1,Scirpus ,,cyperinus,,,,,,,,,Canada,British Columbia,Katherine Lake D ,,,,,,,,,,,,,1996 09 2,Harvey Janszen,,,,,page 145 HJ7 ,,,,,,,"verbatim taxon name on sheet, but no taxon listed in field notes for Katherine Lake D during that visit; assuming link to field notes"
5,Y,Y,Y,mark which one is which on sheet,HJCB5,1,Anemonoides,,grayi,,,,,,,,,Canada,British Columbia,"Texada Island, Angel Lake ",,,,,,,,,,,On dry hillock in slough,,1996 08 09,Harvey Janszen,,,,,seeds all gone; page 137 HJ7 ,,,,,,,"verbatim taxon name Anemone lyallii, in same sheet as Cicuta douglasii HJCB6"
6,Y,Y,Y,mark which one is which on sheet,HJCB6,1,Cicuta,,douglasii,,,,,,,,,Canada,British Columbia,"Powell River, Duck Lake Creek",,,,,,,,,,,On islets in creek; growing with Aster ,,1996 08 09,Harvey Janszen,,,,,associated field notes on page 137 HJ7 ,,,,,,,in same sheet as Anemonoides grayi HJCB5
7,Y,Y,Y,,HJCB7,1,Gentiana,,sceptrum,,,,,,,,,Canada,British Columbia,"Vancouver Island, Bowser Bog",,,,,,,,,,,"bog; growing with Spiraea douglasii, Dulichium sp, Carex retrorsa, Rhynchospora alba, Pinus contorta",,1996 08 07,Harvey Janszen,,,,,2 plants; page 125 HJ7  ,,,,,,,"no date or location on sheet, assuming it is this based on ordering and note of a collection crossed out"
8,Y,Y,Y,mark which one which on sheet,HJCB8,1,Ranunculus,,flammula,,,,,,,,,Canada,British Columbia,"Texada Island, Second Lake",49,38,15,124,20,46,,,,,"Wetland bog; at drain end of lake; growing with Eleocharis palustris, Drosera rotundifolia, Hypericium anagalloides, Veronica scutellata, Potamogeton robbinsii , Sisyrinchium californicum, Viola palustris ",,1996 08 08,Harvey Janszen,,,,,page 130 HJ7 ,,,,,,,"on same sheet as HJCB9, HJCB10"
9,Y,Y,Y,mark which one which on sheet,HJCB9,1,Potamogeton,,robbinsii,,,,,,,,,Canada,British Columbia,"Texada Island, Second Lake",49,38,15,124,20,46,,,,,"Wetland bog; at drain end of lake; growing with Eleocharis palustris, Drosera rotundifolia, Hypericium anagalloides, Veronica scutellata, Ranninculus flammula, Sisyrinchium californicum, Viola palustris ",,1996 08 08,Harvey Janszen,,,,,page 130 HJ7 ,,,,,,,"on same sheet as HJCB8, HJCB11"
10,Y,Y,Y,mark which one which on sheet,HJCB10,1,Sisyrinchium,,californicum,,,,,,,,,Canada,British Columbia,"Texada Island, Second Lake",49,38,15,124,20,46,,,,,"Wetland bog; at drain end of lake; growing with Eleocharis palustris, Drosera rotundifolia, Hypericium anagalloides, Veronica scutellata, Ranninculus flammula, Potamogeton robbinsii, Viola palustris ",,1996 08 08,Harvey Janszen,,,,,page 131 HJ7 ,,,,,,,"on same sheet as HJCB8, HJCB9"
11,Y,Y,Y,,HJCB11,1,Potamogeton,,gramineus,,,,,,,,,Canada,British Columbia,"Port Coquitlam, Colony Farm, slough off Coquitlam Road",49,13,40,128,48,38,,,,,"Aquatic; slough; growing with Myriophyllum spicatum, Elodea nuttallii, Ludwigia palustris, Callitriche heterophylla",,1996 09 01,Harvey Janszen,,,,,15 percent cover in slough; page 141 HJ7 ,,,,,,,
